ip,app,device,os,channel,click_scalar,is_attributed
84568.0,14.0,1.0,37.0,401.0,2.0,0.0
100141.0,3.0,1.0,19.0,280.0,0.0,0.0
106778.0,14.0,1.0,22.0,439.0,2.0,0.0
48451.0,12.0,1.0,20.0,178.0,1.0,0.0
96830.0,18.0,3032.0,607.0,107.0,1.0,0.0
117.0,18.0,1.0,17.0,439.0,3.0,0.0
15252.0,3.0,1.0,6.0,409.0,4.0,0.0
231.0,15.0,1.0,22.0,315.0,3.0,0.0
135842.0,15.0,1.0,17.0,265.0,3.0,0.0
117291.0,12.0,1.0,8.0,178.0,3.0,0.0
56400.0,18.0,1.0,3.0,107.0,1.0,0.0
114514.0,28.0,1.0,13.0,135.0,3.0,0.0
154971.0,2.0,1.0,14.0,364.0,3.0,0.0
113321.0,2.0,1.0,9.0,219.0,4.0,0.0
9783.0,2.0,1.0,19.0,377.0,4.0,0.0
66263.0,12.0,1.0,19.0,178.0,4.0,0.0
187917.0,15.0,1.0,13.0,245.0,4.0,0.0
84499.0,3.0,1.0,22.0,442.0,4.0,0.0
106680.0,12.0,1.0,32.0,205.0,0.0,0.0
12504.0,3.0,1.0,8.0,280.0,1.0,0.0
145896.0,18.0,1.0,16.0,134.0,1.0,1.0
59295.0,14.0,1.0,22.0,349.0,2.0,0.0
144825.0,2.0,1.0,19.0,236.0,4.0,0.0
161031.0,5.0,1.0,53.0,377.0,0.0,0.0
114636.0,1.0,1.0,19.0,153.0,0.0,0.0
74815.0,3.0,1.0,6.0,280.0,4.0,0.0
125775.0,12.0,1.0,13.0,328.0,4.0,0.0
124663.0,13.0,1.0,15.0,469.0,4.0,0.0
68930.0,2.0,1.0,18.0,219.0,2.0,0.0
164354.0,11.0,1.0,17.0,219.0,1.0,1.0
5348.0,12.0,1.0,19.0,145.0,0.0,0.0
68965.0,14.0,1.0,13.0,463.0,4.0,0.0
141583.0,2.0,1.0,19.0,236.0,1.0,0.0
50625.0,3.0,1.0,6.0,280.0,4.0,0.0
54095.0,3.0,1.0,19.0,280.0,2.0,0.0
170346.0,35.0,1.0,19.0,21.0,2.0,1.0
109522.0,12.0,1.0,10.0,178.0,4.0,0.0
105392.0,2.0,1.0,35.0,469.0,2.0,0.0
65174.0,3.0,1.0,10.0,280.0,2.0,0.0
11911.0,12.0,1.0,19.0,265.0,2.0,0.0
136512.0,3.0,1.0,10.0,137.0,4.0,0.0
83705.0,13.0,1.0,27.0,477.0,1.0,0.0
25321.0,3.0,1.0,28.0,280.0,2.0,0.0
91116.0,18.0,1.0,18.0,107.0,1.0,0.0
123739.0,8.0,1.0,13.0,145.0,5.0,0.0
1519.0,3.0,1.0,13.0,280.0,0.0,0.0
54677.0,3.0,1.0,22.0,137.0,4.0,0.0
70315.0,1.0,1.0,11.0,178.0,1.0,0.0
113719.0,14.0,1.0,6.0,379.0,1.0,0.0
68302.0,3.0,1.0,19.0,280.0,0.0,0.0
132480.0,9.0,1.0,44.0,234.0,1.0,0.0
43748.0,14.0,1.0,13.0,480.0,3.0,0.0
122790.0,3.0,1.0,6.0,280.0,3.0,0.0
9039.0,3.0,1.0,19.0,379.0,2.0,0.0
180965.0,20.0,1.0,22.0,259.0,1.0,1.0
15382.0,9.0,1.0,37.0,232.0,1.0,1.0
109883.0,12.0,1.0,13.0,205.0,0.0,0.0
80006.0,15.0,1.0,1.0,245.0,3.0,0.0
135484.0,18.0,1.0,19.0,439.0,0.0,1.0
35613.0,3.0,1.0,19.0,442.0,3.0,0.0
7872.0,3.0,1.0,19.0,379.0,1.0,0.0
155691.0,14.0,1.0,6.0,208.0,2.0,1.0
106408.0,11.0,1.0,13.0,325.0,3.0,1.0
188351.0,20.0,1.0,17.0,259.0,1.0,1.0
111554.0,14.0,1.0,13.0,480.0,0.0,0.0
97744.0,28.0,1.0,3.0,135.0,4.0,0.0
5168.0,3.0,1.0,6.0,280.0,0.0,0.0
10307.0,3.0,1.0,13.0,135.0,4.0,0.0
72131.0,15.0,1.0,13.0,245.0,4.0,0.0
148254.0,1.0,1.0,9.0,125.0,4.0,0.0
117582.0,15.0,2.0,13.0,245.0,0.0,0.0
29171.0,1.0,1.0,30.0,178.0,1.0,0.0
120984.0,3.0,1.0,22.0,280.0,2.0,0.0
119119.0,12.0,1.0,19.0,178.0,4.0,0.0
41425.0,3.0,1.0,17.0,280.0,4.0,0.0
14084.0,23.0,1.0,13.0,153.0,4.0,0.0
111021.0,1.0,1.0,32.0,125.0,5.0,0.0
114276.0,3.0,1.0,10.0,280.0,0.0,0.0
31981.0,3.0,1.0,26.0,280.0,0.0,0.0
125100.0,18.0,1.0,31.0,134.0,2.0,0.0
148433.0,11.0,1.0,13.0,325.0,3.0,0.0
149443.0,12.0,1.0,19.0,205.0,1.0,0.0
84876.0,15.0,1.0,22.0,265.0,2.0,0.0
138576.0,15.0,1.0,19.0,153.0,1.0,0.0
112706.0,2.0,1.0,25.0,236.0,4.0,0.0
1761.0,2.0,1.0,3.0,435.0,3.0,0.0
187668.0,12.0,1.0,19.0,145.0,2.0,0.0
117334.0,8.0,1.0,19.0,259.0,0.0,1.0
81624.0,3.0,1.0,19.0,173.0,0.0,0.0
119724.0,14.0,1.0,20.0,439.0,3.0,0.0
59762.0,2.0,1.0,19.0,219.0,4.0,0.0
40631.0,3.0,1.0,19.0,466.0,3.0,0.0
133522.0,18.0,1.0,48.0,107.0,4.0,0.0
12920.0,12.0,1.0,19.0,259.0,1.0,0.0
149557.0,15.0,1.0,22.0,130.0,0.0,0.0
31009.0,15.0,1.0,19.0,245.0,3.0,0.0
120728.0,3.0,1.0,19.0,280.0,3.0,0.0
87625.0,15.0,1.0,6.0,315.0,0.0,0.0
84841.0,2.0,2.0,36.0,205.0,5.0,0.0
55805.0,12.0,1.0,19.0,178.0,0.0,0.0
25422.0,2.0,1.0,19.0,435.0,1.0,0.0
134598.0,12.0,1.0,41.0,409.0,3.0,0.0
107281.0,3.0,1.0,19.0,280.0,1.0,0.0
167583.0,2.0,1.0,10.0,205.0,2.0,0.0
48117.0,2.0,1.0,19.0,435.0,0.0,0.0
63028.0,21.0,1.0,19.0,128.0,5.0,0.0
155059.0,12.0,2.0,9.0,277.0,1.0,0.0
108106.0,15.0,1.0,22.0,386.0,0.0,0.0
125466.0,11.0,1.0,11.0,122.0,0.0,0.0
27216.0,6.0,1.0,19.0,459.0,0.0,0.0
103036.0,12.0,1.0,22.0,265.0,1.0,0.0
192786.0,2.0,1.0,12.0,477.0,3.0,0.0
55430.0,3.0,1.0,19.0,137.0,3.0,0.0
103241.0,12.0,1.0,19.0,242.0,1.0,0.0
92410.0,18.0,1.0,15.0,107.0,3.0,0.0
89167.0,150.0,1.0,20.0,110.0,1.0,1.0
53964.0,13.0,1.0,27.0,477.0,3.0,0.0
173506.0,23.0,1.0,9.0,153.0,2.0,0.0
119349.0,20.0,2.0,56.0,259.0,2.0,0.0
146541.0,9.0,1.0,19.0,258.0,3.0,0.0
186361.0,14.0,1.0,19.0,442.0,2.0,0.0
52469.0,18.0,3032.0,607.0,107.0,1.0,0.0
47394.0,12.0,1.0,15.0,140.0,3.0,0.0
140084.0,13.0,1.0,14.0,400.0,0.0,0.0
44304.0,9.0,1.0,6.0,215.0,4.0,0.0
31455.0,15.0,1.0,13.0,140.0,2.0,0.0
152272.0,3.0,1.0,34.0,173.0,3.0,0.0
11089.0,12.0,1.0,22.0,265.0,3.0,0.0
166798.0,18.0,1.0,22.0,107.0,1.0,0.0
13791.0,2.0,1.0,15.0,219.0,4.0,0.0
159910.0,12.0,1.0,14.0,259.0,1.0,0.0
142174.0,10.0,1.0,9.0,377.0,0.0,0.0
94212.0,23.0,1.0,19.0,153.0,2.0,0.0
185476.0,9.0,1.0,13.0,442.0,1.0,0.0
202447.0,14.0,1.0,20.0,371.0,2.0,0.0
116881.0,18.0,1.0,53.0,121.0,5.0,0.0
111267.0,1.0,1.0,19.0,377.0,0.0,0.0
122253.0,12.0,1.0,13.0,265.0,1.0,0.0
179804.0,3.0,1.0,17.0,280.0,3.0,0.0
35759.0,12.0,1.0,13.0,140.0,2.0,0.0
60666.0,3.0,1.0,13.0,280.0,3.0,0.0
201408.0,18.0,1.0,11.0,134.0,1.0,0.0
88781.0,3.0,1.0,1.0,280.0,3.0,0.0
146001.0,12.0,1.0,19.0,178.0,4.0,0.0
173180.0,14.0,1.0,22.0,463.0,2.0,0.0
161947.0,18.0,1.0,35.0,107.0,3.0,0.0
152545.0,1.0,1.0,10.0,134.0,5.0,0.0
147610.0,2.0,1.0,19.0,122.0,0.0,0.0
206556.0,18.0,1.0,17.0,439.0,5.0,0.0
9311.0,14.0,1.0,25.0,439.0,2.0,0.0
4308.0,24.0,1.0,17.0,178.0,5.0,0.0
